,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,281885,[],CHEMBL732071,Inhibition of Mitogen-activated protein kinase 1,B,BAO_0000192,BAO_0000357,single protein format,Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,,,CHEMBL1149116,J. Med. Chem.,2004.0,,CHEMBL298445,,CHEMBL298445,,False,http://www.openphacts.org/units/Nanomolar,74469,>,1,True,>,,Ki,nM,,1000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,1000.0
1,,1723169,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(C)=O)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL208637,,CHEMBL208637,,False,http://www.openphacts.org/units/Nanomolar,492955,>,1,True,>,,Ki,nM,,8800.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,8800.0
2,,1723170,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210928,,CHEMBL210928,,False,http://www.openphacts.org/units/Nanomolar,493010,>,1,True,>,,Ki,nM,,8800.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,8800.0
3,,1723171,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210032,,CHEMBL210032,,False,http://www.openphacts.org/units/Nanomolar,493002,>,1,True,>,,Ki,nM,,8800.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,8800.0
4,,1723172,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,,,CHEMBL1148638,J. Med. Chem.,2006.0,"{'bei': '12.06', 'le': '0.24', 'lle': '3.49', 'sei': '3.52'}",CHEMBL378627,,CHEMBL378627,5.41,False,http://www.openphacts.org/units/Nanomolar,492990,=,1,True,=,,Ki,nM,,3900.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,3900.0
5,,1723173,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,"{'bei': '12.05', 'le': '0.24', 'lle': '3.70', 'sei': '3.41'}",CHEMBL210963,,CHEMBL210963,5.24,False,http://www.openphacts.org/units/Nanomolar,492973,=,1,True,=,,Ki,nM,,5800.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,5800.0
6,,1723174,[],CHEMBL860208,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,"{'bei': '14.95', 'le': '0.28', 'lle': '3.20', 'sei': '4.46'}",CHEMBL210618,,CHEMBL210618,5.33,False,http://www.openphacts.org/units/Nanomolar,492969,=,1,True,=,,Ki,nM,,4700.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,4700.0
7,,1739116,[],CHEMBL866209,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,,,CHEMBL1137422,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '18.37', 'le': '0.33', 'lle': '2.71', 'sei': '8.57'}",CHEMBL379218,,CHEMBL379218,6.58,False,http://www.openphacts.org/units/Nanomolar,498452,=,1,True,=,,Ki,nM,,260.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,nM,UO_0000065,,260.0
8,,1744475,[],CHEMBL867310,Inhibition of ERK2,B,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,,,CHEMBL1138045,J. Med. Chem.,2006.0,"{'bei': '14.25', 'le': '0.30', 'lle': '3.42', 'sei': '4.91'}",CHEMBL377383,,CHEMBL377383,5.47,False,http://www.openphacts.org/units/Nanomolar,501943,=,1,True,=,,Ki,nM,,3400.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,3.4
9,,1820398,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,CN(C)C(=O)c1cc(-c2n[nH]cc2-c2ccccc2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '20.11', 'le': '0.37', 'lle': '2.87', 'sei': '8.70'}",CHEMBL219841,,CHEMBL219841,5.64,False,http://www.openphacts.org/units/Nanomolar,626583,=,1,True,=,,Ki,nM,,2300.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,2.3
