mol,name,pKi,CSAR_exercise_number,crystal,Crystal designation,good crystal,Series,setup in 3D,Blinded_ID_ligand,Blinded_ID_crystal,Vertex name,canonical_smiles,BindingDB,ChemBL affinity,PDBID,CSAR pIC50,x-ray struc. (y/n),Crystal disposition
Clc1cc(cc(Cl)c1)-c1cnc(nc1-c1cc([nH]c1)C(=O)N[C@H](CO)c1ccccc1)N,erk000031,6.64,,yes,stop (2.6A),,series_1,yes,erk2_ligand_8,erk2_crystal_12,erk000031, Nc1ncc(c2cc(Cl)cc(Cl)c2)c(n1)c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,6.6399999,yes,Discard -fails metrics
O=C(NCc1c2c(ccc1)cccc2)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000036,7.24,,no,,,series_1,,erk_ligand_1141,,erk000036, CNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3cccc4ccccc34,,,,7.24,,
O=C(NCc1c2c(ccc1)cccc2)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000037,6.22,,no,,,series_1,,erk_ligand_1221,,erk000037, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3cccc4ccccc34,,,,6.22,,
Fc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000038,6.62,,no,,,series_1,,erk_ligand_1257,,erk000038, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3ccc(F)c(F)c3,,,,6.62,,
FC(F)(F)c1ccccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000039,5.34,3,no,,,series_1,yes,erk_ligand_1258,,erk000039, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3ccccc3C(F)(F)F,,,,5.34,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1ccccc1)c1ccccc1,erk000040,8.4,,yes,stop (no data),3I5Z,series_1,,erk2_ligand_33,erk2_crystal_3,erk000040, Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,Ki = 670 nM,Ki = 670 nM,3I5Z,8.3999996,yes,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC)c1ccccc1,erk000041,8.52,,no,,,series_1,,erk_ligand_1021,,erk000041, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,8.52,,
FC(F)(F)c1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000042,6.33,,no,,,series_1,,erk_ligand_1077,,erk000042, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)NCc3cccc(c3)C(F)(F)F,,,,6.33,,
FC(F)(F)c1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000043,6.25,,no,,,series_1,,erk_ligand_1066,,erk000043, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3cccc(c3)C(F)(F)F,,,,6.25,,
O=C(NCc1ccccc1)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000045,6.11,,no,,,series_1,,erk_ligand_1015,,erk000045, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)NCc3ccccc3,,,,6.11,,
